,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots,Matches
508,Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,33,1985,36.6,75,45,46,26,3,38,65,58.5,27,35,15,20,67,142,106,1,Matches
509,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,31,1987,35.7,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,15,6,Matches
510,Andrea Conti,it ITA,DF,Milan,it Serie A,24,1994,5.6,9,5,3,4,2,2,9,22.2,7,4,0,4,15,24,12,1,Matches
511,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,21,1997,8.0,13,6,6,7,0,8,19,42.1,11,8,2,6,8,21,7,1,Matches
512,Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,27,1991,31.0,36,19,31,5,0,20,27,74.1,7,36,21,15,50,86,202,1,Matches
513,Duje Čop,hr CRO,FW,Valladolid,es La Liga,28,1990,7.6,5,4,1,2,2,0,8,0.0,8,8,3,5,3,8,3,0,Matches
514,Francis Coquelin,fr FRA,MF,Valencia,es La Liga,27,1991,19.6,46,31,25,14,7,17,35,48.6,18,21,5,16,49,95,29,1,Matches
515,Gabriele Corbo,it ITA,DF,Bologna,it Serie A,18,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
516,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,es La Liga,21,1997,14.7,37,23,15,17,5,14,47,29.8,33,27,0,27,17,54,13,0,Matches
517,Sergio Córdova,ve VEN,FW,Augsburg,de Bundesliga,20,1997,5.9,9,5,3,4,2,2,6,33.3,4,0,0,0,3,12,5,0,Matches
518,Benjamin Corgnet,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,31,1987,7.5,21,12,7,9,5,4,11,36.4,7,1,0,1,6,27,9,0,Matches
519,Ante Ćorić,hr CRO,MF,Roma,it Serie A,21,1997,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
520,Jack Cork,eng ENG,MF,Burnley,eng Premier League,29,1989,36.8,51,27,12,34,5,18,46,39.1,28,39,16,23,29,80,82,2,Matches
521,Andreas Cornelius,dk DEN,FW,Bordeaux,fr Ligue 1,25,1993,8.8,4,1,1,3,0,1,4,25.0,3,4,1,3,1,5,21,0,Matches
522,Maxwel Cornet,ci CIV,FW,Lyon,fr Ligue 1,21,1996,14.2,14,11,4,7,3,1,11,9.1,10,10,0,10,5,19,8,0,Matches
523,Quentin Cornette,fr FRA,"FW,MF",Amiens,fr Ligue 1,24,1994,2.3,5,1,2,2,1,3,6,50.0,3,3,0,3,1,6,5,0,Matches
524,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,es La Liga,23,1995,21.3,38,19,19,12,7,10,53,18.9,43,28,5,23,17,55,20,0,Matches
525,Joaquín Correa,ar ARG,"FW,MF",Lazio,it Serie A,23,1994,21.4,21,13,6,12,3,5,18,27.8,13,14,3,11,2,23,7,0,Matches
526,Danny da Costa,de GER,"DF,FW",Eint Frankfurt,de Bundesliga,25,1993,33.7,61,35,29,25,7,18,42,42.9,24,51,9,42,32,93,67,0,Matches
527,Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,29,1988,12.4,4,1,0,4,0,1,8,12.5,7,5,0,5,2,6,6,0,Matches
528,Douglas Costa,br BRA,"FW,MF",Juventus,it Serie A,27,1990,6.9,10,8,2,8,0,4,9,44.4,5,8,0,8,4,14,2,0,Matches
529,Filippo Costa,it ITA,"DF,FW",SPAL,it Serie A,23,1995,6.3,15,13,6,6,3,4,9,44.4,5,10,3,7,8,23,31,1,Matches
530,Hélder Costa,ao ANG,"FW,MF",Wolves,eng Premier League,24,1994,14.9,18,14,7,7,4,7,23,30.4,16,15,0,15,9,27,6,0,Matches
531,Jaume Costa,es ESP,DF,Villarreal,es La Liga,30,1988,16.6,33,21,26,5,2,20,33,60.6,13,12,3,9,21,54,61,0,Matches
532,Nuno da Costa,cv CPV,FW,Strasbourg,fr Ligue 1,27,1991,22.8,39,27,10,19,10,10,38,26.3,28,24,1,23,14,53,9,0,Matches
533,David Costas,es ESP,DF,Celta Vigo,es La Liga,23,1995,13.0,25,13,21,4,0,10,15,66.7,5,12,6,6,18,43,58,1,Matches
534,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,31,1987,37.0,2,0,2,0,0,2,2,100.0,0,0,0,0,0,2,14,3,Matches
535,Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,26,1991,19.5,15,7,1,10,4,4,11,36.4,7,8,1,7,4,19,22,0,Matches
536,Senou Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,23,1994,4.6,13,7,10,3,0,3,8,37.5,5,8,2,6,11,24,20,0,Matches
537,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,26,1992,27.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,5,0,Matches
538,Philippe Coutinho,br BRA,"FW,MF",Barcelona,es La Liga,26,1992,22.4,16,11,1,6,9,7,22,31.8,15,21,2,19,12,28,8,0,Matches
539,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,19,1999,10.9,19,15,14,5,0,4,10,40.0,6,13,10,3,23,42,37,1,Matches
540,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,24,1994,38.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,19,1,Matches
541,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,28,1989,17.7,29,16,14,11,4,13,25,52.0,12,28,7,21,23,52,58,0,Matches
542,Domenico Criscito,it ITA,DF,Genoa,it Serie A,31,1986,34.1,111,75,64,36,11,57,83,68.7,26,40,11,29,70,181,142,0,Matches
543,Lorenzo Crisetig,it ITA,MF,Frosinone,it Serie A,25,1993,5.6,14,11,4,8,2,6,15,40.0,9,8,3,5,12,26,12,0,Matches
544,Bryan Cristante,it ITA,MF,Roma,it Serie A,23,1995,26.9,63,34,21,35,7,19,49,38.8,30,37,5,32,29,92,48,0,Matches
545,Sebastián Cristóforo,uy URU,MF,Getafe,es La Liga,24,1993,5.0,15,8,4,8,3,5,14,35.7,9,13,0,13,8,23,5,0,Matches
546,Enzo Crivelli,fr FRA,FW,Caen,fr Ligue 1,23,1995,25.1,20,14,10,8,2,8,13,61.5,5,5,0,5,4,24,28,1,Matches
547,Peter Crouch,eng ENG,FW,Burnley,eng Premier League,37,1981,1.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
548,Alessio da Cruz,,"FW,MF",Parma,it Serie A,21,1997,1.6,2,1,0,2,0,0,1,0.0,1,0,0,0,0,2,0,0,Matches
549,Juan Cuadrado,co COL,"MF,DF",Juventus,it Serie A,30,1988,13.6,20,15,6,9,5,5,23,21.7,18,14,3,11,18,38,11,0,Matches
550,Cucho,co COL,FW,Huesca,es La Liga,19,1999,23.9,22,13,6,10,6,6,18,33.3,12,23,2,21,9,31,21,0,Matches
551,Marc Cucurella,es ESP,"MF,FW",Eibar,es La Liga,20,1998,26.2,49,37,13,21,15,10,23,43.5,13,36,3,33,20,69,24,0,Matches
552,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,34,1984,33.9,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,10,0,Matches
553,Mickaël Cuisance,fr FRA,MF,M'Gladbach,de Bundesliga,18,1999,3.1,11,6,6,3,2,3,8,37.5,5,3,0,3,5,16,4,0,Matches
554,Matheus Cunha,br BRA,"FW,MF",RB Leipzig,de Bundesliga,19,1999,9.5,10,6,3,5,2,3,13,23.1,10,13,1,12,4,14,8,0,Matches
555,Greg Cunningham,ie IRL,DF,Cardiff City,eng Premier League,27,1991,7.0,18,7,11,4,3,9,16,56.3,7,9,3,6,17,35,16,1,Matches
556,Patrick Cutrone,it ITA,FW,Milan,it Serie A,20,1998,16.2,9,5,0,3,6,2,16,12.5,14,13,2,11,7,16,13,0,Matches
557,Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,23,1995,26.2,40,20,16,21,3,15,43,34.9,28,20,5,15,11,51,15,0,Matches
558,Marco D'Alessandro,it ITA,DF,Udinese,it Serie A,27,1991,16.6,55,34,34,15,6,29,49,59.2,20,24,2,22,9,64,50,1,Matches
559,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,29,1988,28.7,69,40,34,27,8,24,57,42.1,33,25,8,17,27,96,39,0,Matches
560,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,30,1988,31.9,41,25,31,9,1,18,24,75.0,6,42,36,6,39,80,152,0,Matches
561,Kouadio-Yves Dabila,ci CIV,DF,Lille,fr Ligue 1,21,1997,8.7,11,6,10,1,0,5,6,83.3,1,13,9,4,6,17,44,0,Matches
562,Abdoulaye Dabo,fr FRA,FW,Nantes,fr Ligue 1,17,2001,1.3,3,1,1,0,2,0,0,,0,0,0,0,0,3,0,0,Matches
563,Bryan Dabo,bf BFA,"MF,DF",Fiorentina,it Serie A,26,1992,9.2,10,6,1,8,1,1,6,16.7,5,11,6,5,10,20,21,0,Matches
564,Christoph Daferner,de GER,FW,Freiburg,de Bundesliga,20,1998,0.3,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0,Matches
565,Colin Dagba,fr FRA,"DF,MF",Paris S-G,fr Ligue 1,19,1998,10.2,24,12,10,12,2,13,19,68.4,6,10,0,10,9,33,10,1,Matches
566,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,22,1996,7.7,16,10,4,10,2,3,15,20.0,12,10,0,10,17,33,8,0,Matches
567,Leon Dajaku,de GER,"DF,MF",Stuttgart,de Bundesliga,17,2001,0.3,2,1,0,1,1,0,0,,0,1,0,1,0,2,0,0,Matches
568,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,34,1984,26.2,36,25,21,13,2,16,32,50.0,16,29,18,11,17,53,88,1,Matches
569,Nicola Dalmonte,it ITA,"FW,MF",Genoa,it Serie A,20,1997,0.5,2,2,0,2,0,0,0,,0,0,0,0,0,2,0,0,Matches
570,Diogo Dalot,pt POR,"DF,FW",Manchester Utd,eng Premier League,19,1999,11.3,24,12,8,14,2,14,19,73.7,5,15,2,13,10,34,35,1,Matches
571,Matty Daly,eng ENG,MF,Huddersfield,eng Premier League,17,2001,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
572,Vitalie Damașcan,md MDA,MF,Torino,it Serie A,19,1999,0.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
573,Loïc Damour,fr FRA,MF,Cardiff City,eng Premier League,27,1991,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
574,Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,31,1986,17.6,25,15,18,6,1,13,22,59.1,9,14,4,10,20,45,56,2,Matches
575,Danilo,br BRA,DF,Manchester City,eng Premier League,27,1991,9.0,20,16,6,12,2,12,17,70.6,5,5,0,5,15,35,22,1,Matches
576,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,31,1987,7.4,6,2,5,1,0,3,7,42.9,4,16,12,4,5,11,46,0,Matches
577,Kevin Danso,at AUT,DF,Augsburg,de Bundesliga,19,1998,13.9,25,14,21,3,1,11,14,78.6,3,25,17,8,19,44,72,0,Matches
578,Dante,br BRA,DF,Nice,fr Ligue 1,34,1983,35.8,54,40,36,16,2,24,41,58.5,17,56,30,26,38,92,156,2,Matches
579,Palkó Dárdai,hu HUN,"FW,MF",Hertha BSC,de Bundesliga,19,1999,1.3,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
580,Sergi Darder,es ESP,MF,Espanyol,es La Liga,24,1993,30.1,60,35,23,32,5,25,69,36.2,44,18,3,15,22,82,30,0,Matches
581,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,27,1990,4.2,8,5,3,4,1,2,3,66.7,1,5,0,5,8,16,5,0,Matches
582,Matteo Darmian,it ITA,DF,Manchester Utd,eng Premier League,28,1989,4.9,14,8,10,4,0,4,11,36.4,7,9,0,9,7,21,20,0,Matches
583,Alphonso Davies,ca CAN,"MF,FW",Bayern Munich,de Bundesliga,17,2000,0.9,1,1,1,0,0,0,0,,0,2,0,2,2,3,1,0,Matches
584,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,25,1993,20.5,56,30,39,13,4,38,54,70.4,16,23,10,13,23,79,68,1,Matches
585,Tom Davies,eng ENG,MF,Everton,eng Premier League,20,1998,10.9,27,17,9,17,1,7,23,30.4,16,15,1,14,16,43,9,1,Matches
586,Steven Davis,nir NIR,MF,Southampton,eng Premier League,33,1985,1.1,2,2,0,2,0,0,0,,0,2,0,2,1,3,5,0,Matches
587,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,27,1991,10.8,22,15,6,12,4,7,21,33.3,14,13,1,12,3,25,2,1,Matches
588,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,31,1987,13.0,11,7,7,4,0,3,12,25.0,9,22,17,5,12,23,93,0,Matches
589,Sebastien De Maio,fr FRA,DF,Bologna,it Serie A,31,1987,5.5,5,4,3,2,0,1,2,50.0,1,8,5,3,1,6,32,0,Matches
590,Rodrigo De Paul,ar ARG,"MF,FW",Udinese,it Serie A,24,1994,35.4,53,33,21,27,5,13,42,31.0,29,35,2,33,32,85,28,0,Matches
591,Daniele De Rossi,it ITA,MF,Roma,it Serie A,35,1983,14.1,16,10,6,7,3,3,14,21.4,11,18,12,6,26,42,33,0,Matches
592,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,25,1992,19.4,40,28,24,14,2,17,28,60.7,11,18,6,12,26,66,58,1,Matches
593,Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,30,1988,26.8,15,11,8,5,2,7,24,29.2,17,53,3,50,22,37,69,2,Matches
594,Lucas Deaux,fr FRA,MF,Guingamp,fr Ligue 1,29,1988,13.2,41,28,21,18,2,20,41,48.8,21,10,0,10,11,52,7,0,Matches
595,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,33,1985,21.6,43,26,25,13,5,22,37,59.5,15,17,7,10,47,90,64,0,Matches
596,Troy Deeney,eng ENG,FW,Watford,eng Premier League,30,1988,28.3,24,14,8,10,6,7,32,21.9,25,22,4,18,7,31,29,0,Matches
597,Jermain Defoe,eng ENG,FW,Bournemouth,eng Premier League,35,1982,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
598,Steven Defour,be BEL,MF,Burnley,eng Premier League,30,1988,5.0,8,4,2,4,2,3,14,21.4,11,11,3,8,8,16,7,0,Matches
599,Grégoire Defrel,mq MTQ,"FW,MF",Sampdoria,it Serie A,27,1991,26.0,40,29,10,16,14,9,21,42.9,12,15,0,15,3,43,9,0,Matches
600,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,22,1995,5.0,7,3,1,6,0,3,13,23.1,10,14,0,14,6,13,8,0,Matches
601,Alessandro Deiola,it ITA,"MF,FW",Parma,it Serie A,22,1995,6.1,12,8,4,7,1,4,10,40.0,6,15,4,11,11,23,10,0,Matches
602,Romain Del Castillo,fr FRA,"MF,FW",Rennes,fr Ligue 1,22,1996,14.9,36,20,15,13,8,13,37,35.1,24,19,0,19,20,56,7,1,Matches
603,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,26,1991,25.4,69,54,28,39,2,19,30,63.3,11,30,9,21,58,127,43,0,Matches
604,Moisés Delgado,es ESP,DF,Valladolid,es La Liga,24,1994,3.0,7,6,3,3,1,2,3,66.7,1,2,1,1,3,10,9,0,Matches
605,Cristian Dell'Orco,it ITA,DF,Empoli,it Serie A,24,1994,11.5,18,11,11,5,2,4,11,36.4,7,13,7,6,17,35,44,0,Matches
606,Cristian Dell'Orco,it ITA,DF,Sassuolo,it Serie A,24,1994,1.2,1,1,1,0,0,1,3,33.3,2,1,0,1,1,2,3,0,Matches
607,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,26,1991,34.6,34,20,7,20,7,8,34,23.5,26,28,7,21,4,38,7,0,Matches
608,Fabian Delph,eng ENG,DF,Manchester City,eng Premier League,28,1989,8.1,23,14,11,7,5,12,23,52.2,11,3,0,3,13,36,19,1,Matches
609,Mousa Dembélé,be BEL,MF,Tottenham,eng Premier League,31,1987,5.7,13,9,6,6,1,4,7,57.1,3,4,1,3,7,20,5,2,Matches
610,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,22,1996,22.4,12,4,0,8,4,4,14,28.6,10,15,2,13,2,14,13,0,Matches
611,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,es La Liga,21,1997,18.5,23,15,4,13,6,6,18,33.3,12,13,0,13,5,28,4,0,Matches
612,Jessy Deminguet,fr FRA,MF,Caen,fr Ligue 1,20,1998,14.1,37,25,18,17,2,15,40,37.5,25,19,3,16,18,55,28,1,Matches
613,Merih Demiral,tr TUR,DF,Sassuolo,it Serie A,20,1998,14.0,24,16,23,1,0,10,13,76.9,3,16,11,5,19,43,80,0,Matches
614,Kerem Demirbay,de GER,MF,Hoffenheim,de Bundesliga,25,1993,22.4,57,35,20,27,10,11,51,21.6,40,34,10,24,22,79,25,0,Matches
615,Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,26,1991,22.8,75,47,24,43,8,33,67,49.3,34,36,3,33,26,101,15,0,Matches
616,Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,23,1995,30.6,33,21,22,11,0,16,24,66.7,8,36,32,4,26,59,122,1,Matches
617,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,23,1995,16.3,53,26,25,25,3,16,47,34.0,31,35,6,29,23,76,34,1,Matches
618,Fabio Depaoli,it ITA,DF,Chievo,it Serie A,21,1997,27.4,74,43,37,32,5,34,67,50.7,33,42,16,26,35,109,99,3,Matches
619,Laurent Depoitre,be BEL,FW,Huddersfield,eng Premier League,29,1988,11.9,6,4,2,3,1,0,3,0.0,3,9,0,9,2,8,8,0,Matches
620,Clément Depres,fr FRA,FW,Nîmes,fr Ligue 1,23,1994,4.9,2,2,1,1,0,1,4,25.0,3,3,0,3,0,2,6,0,Matches
621,Kiril Despodov,bg BUL,"FW,MF",Cagliari,it Serie A,21,1996,1.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
622,Daniele Dessena,it ITA,MF,Cagliari,it Serie A,31,1987,3.9,2,2,0,2,0,1,3,33.3,2,3,1,2,3,5,5,0,Matches
623,Mattia Destro,it ITA,FW,Bologna,it Serie A,27,1991,5.5,3,2,2,0,1,0,0,,0,4,0,4,0,3,6,0,Matches
624,Gerard Deulofeu,es ESP,"FW,MF",Watford,eng Premier League,24,1994,23.0,11,6,5,3,3,4,26,15.4,22,16,0,16,14,25,3,0,Matches
625,Jacopo Dezi,it ITA,MF,Parma,it Serie A,26,1992,1.0,1,1,1,0,0,0,1,0.0,1,1,0,1,3,4,2,0,Matches
626,Federico Di Francesco,it ITA,"FW,MF",Sassuolo,it Serie A,24,1994,11.9,10,6,3,4,3,4,7,57.1,3,12,1,11,5,15,5,0,Matches
627,Antonio Di Gaudio,it ITA,FW,Parma,it Serie A,28,1989,7.8,2,0,0,1,1,1,5,20.0,4,6,1,5,3,5,5,0,Matches
628,Giovanni Di Lorenzo,it ITA,"DF,FW",Empoli,it Serie A,24,1993,37.0,66,43,38,23,5,24,44,54.5,20,34,13,21,36,102,93,3,Matches
629,Ángel Di María,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,30,1988,25.8,29,17,12,10,7,10,42,23.8,32,24,1,23,16,45,4,0,Matches
630,Franco Di Santo,ar ARG,FW,Rayo Vallecano,es La Liga,29,1989,1.9,2,2,1,0,1,1,2,50.0,1,0,0,0,0,2,2,0,Matches
631,Franco Di Santo,ar ARG,"MF,FW",Schalke 04,de Bundesliga,29,1989,2.7,2,1,0,2,0,1,4,25.0,3,3,1,2,1,3,3,0,Matches
632,Boulaye Dia,sn SEN,FW,Reims,fr Ligue 1,21,1996,8.3,12,6,3,8,1,5,11,45.5,6,4,2,2,4,16,9,0,Matches
633,Fousseni Diabaté,ml MLI,FW,Leicester City,eng Premier League,22,1995,0.6,2,0,2,0,0,0,1,0.0,1,2,0,2,0,2,0,0,Matches
634,Moussa Diaby,fr FRA,"MF,DF",Paris S-G,fr Ligue 1,19,1999,12.7,14,8,7,2,5,2,11,18.2,9,7,1,6,12,26,6,0,Matches
635,Adama Diakhaby,fr FRA,"FW,MF",Huddersfield,eng Premier League,22,1996,6.1,6,3,4,1,1,3,11,27.3,8,7,0,7,1,7,2,0,Matches
636,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,21,1996,17.6,14,8,10,4,0,5,10,50.0,5,24,16,8,20,34,94,1,Matches
637,Bafodé Diakité,fr FRA,DF,Toulouse,fr Ligue 1,17,2001,7.0,15,7,5,9,1,10,14,71.4,4,15,3,12,11,26,29,0,Matches
638,Abdou Diallo,sn SEN,DF,Dortmund,de Bundesliga,22,1996,26.4,36,20,20,13,3,11,15,73.3,4,28,15,13,26,62,91,1,Matches
639,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,5.5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
640,Mustapha Diallo,sn SEN,MF,Nîmes,fr Ligue 1,32,1986,5.1,16,11,6,9,1,5,13,38.5,8,7,1,6,10,26,14,1,Matches
641,Mohamed Diamé,sn SEN,MF,Newcastle Utd,eng Premier League,31,1987,24.1,76,46,35,36,5,16,54,29.6,38,42,9,33,30,106,39,1,Matches
642,Grady Diangana,eng ENG,"MF,FW",West Ham,eng Premier League,20,1998,6.8,20,9,8,8,4,5,14,35.7,9,11,0,11,1,21,4,0,Matches
643,Lassana Diarra,fr FRA,MF,Paris S-G,fr Ligue 1,33,1985,1.8,2,1,0,2,0,0,1,0.0,1,0,0,0,2,4,3,0,Matches
644,Amadou Diawara,gn GUI,MF,Napoli,it Serie A,21,1997,7.3,12,4,1,9,2,4,5,80.0,1,6,0,6,11,23,12,0,Matches
645,Brahim Díaz,es ESP,FW,Real Madrid,es La Liga,18,1999,4.2,9,7,5,4,0,3,8,37.5,5,2,0,2,0,9,0,0,Matches
646,Javier Díaz,es ESP,GK,Sevilla,es La Liga,21,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
647,Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,28,1989,32.7,38,26,18,16,4,18,27,66.7,9,40,21,19,44,82,102,0,Matches
648,Lorenzo Dickmann,it ITA,"DF,MF",SPAL,it Serie A,21,1996,1.9,5,4,4,1,0,5,7,71.4,2,0,0,0,1,6,5,0,Matches
649,Daniel Didavi,de GER,"MF,FW",Stuttgart,de Bundesliga,28,1990,10.6,21,15,8,10,3,7,20,35.0,13,11,1,10,4,25,5,0,Matches
650,Étienne Didot,fr FRA,MF,Guingamp,fr Ligue 1,35,1983,23.4,41,29,12,27,2,17,44,38.6,27,37,10,27,37,78,35,0,Matches
651,Adrián Diéguez,es ESP,DF,Huesca,es La Liga,22,1996,8.3,16,10,11,4,1,9,16,56.3,7,9,4,5,12,28,46,1,Matches
652,Eric Dier,eng ENG,"MF,DF",Tottenham,eng Premier League,24,1994,16.7,26,16,7,15,4,19,47,40.4,28,27,12,15,21,47,46,1,Matches
653,Tim Dierßen,de GER,MF,Hannover 96,de Bundesliga,22,1996,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
654,Lucas Digne,fr FRA,DF,Everton,eng Premier League,25,1993,32.9,71,46,45,18,8,28,45,62.2,17,43,9,34,60,131,116,0,Matches
655,Mitchell Dijks,nl NED,DF,Bologna,it Serie A,25,1993,22.5,30,18,19,7,4,13,36,36.1,23,18,1,17,23,53,49,0,Matches
656,Javairô Dilrosun,nl NED,"FW,MF",Hertha BSC,de Bundesliga,20,1998,10.0,14,10,7,5,2,3,7,42.9,4,18,2,16,7,21,9,0,Matches
657,Federico Dimarco,it ITA,"DF,MF",Parma,it Serie A,20,1997,9.9,22,7,10,8,4,10,20,50.0,10,13,6,7,15,37,27,0,Matches
658,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,1,Matches
659,Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,27,1991,14.9,27,15,11,10,6,7,24,29.2,17,16,3,13,11,38,5,0,Matches
660,Ismaël Diomandé,ci CIV,"MF,DF",Caen,fr Ligue 1,25,1992,14.4,28,15,15,12,1,11,20,55.0,9,17,7,10,10,38,37,0,Matches
661,Federico Dionisi,it ITA,"FW,MF",Frosinone,it Serie A,31,1987,2.3,3,1,0,2,1,0,2,0.0,2,0,0,0,0,3,0,0,Matches
662,Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,25,1992,17.7,17,12,3,9,5,4,10,40.0,6,14,0,14,1,18,9,0,Matches
663,Issa Diop,fr FRA,DF,West Ham,eng Premier League,21,1997,33.0,68,38,47,21,0,37,57,64.9,20,58,36,22,64,132,161,4,Matches
664,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,32,1986,26.1,66,40,14,44,8,14,34,41.2,20,21,1,20,37,103,27,0,Matches
665,Sofiane Diop,fr FRA,"MF,FW",Monaco,fr Ligue 1,18,2000,8.2,12,7,3,6,3,1,15,6.7,14,6,0,6,8,20,6,0,Matches
666,Assane Dioussé,sn SEN,MF,Chievo,it Serie A,20,1997,9.9,24,16,11,8,5,10,23,43.5,13,14,4,10,19,43,13,2,Matches
667,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,20,1997,2.4,6,4,3,3,0,2,4,50.0,2,2,0,2,1,7,7,1,Matches
668,Axel Disasi,fr FRA,DF,Reims,fr Ligue 1,20,1998,1.8,2,1,1,1,0,1,2,50.0,1,2,1,1,2,4,16,0,Matches
669,Djené,tg TOG,DF,Getafe,es La Liga,26,1991,33.1,54,34,43,11,0,26,43,60.5,17,27,11,16,74,128,154,3,Matches
670,Koffi Djidji,ci CIV,DF,Torino,it Serie A,25,1992,15.4,37,23,27,9,1,12,20,60.0,8,26,19,7,24,61,72,1,Matches
671,Koffi Djidji,ci CIV,DF,Nantes,fr Ligue 1,25,1992,1.0,1,1,1,0,0,0,0,,0,1,1,0,1,2,3,0,Matches
672,Alexander Djiku,gh GHA,DF,Caen,fr Ligue 1,23,1994,30.6,48,37,33,13,2,23,43,53.5,20,56,31,25,83,131,183,3,Matches
673,Papy Djilobodji,sn SEN,DF,Guingamp,fr Ligue 1,29,1988,1.9,1,1,1,0,0,0,0,,0,4,2,2,0,1,11,0,Matches
674,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,25,1993,20.1,32,22,18,12,2,13,29,44.8,16,21,11,10,34,66,96,0,Matches
675,Johan Djourou,ch SUI,DF,SPAL,it Serie A,31,1987,3.1,3,1,3,0,0,2,2,100.0,0,5,3,2,4,7,20,0,Matches
676,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,26,1992,24.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,3,Matches
677,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,26,1992,34.9,67,42,48,15,4,35,58,60.3,23,49,7,42,60,127,107,2,Matches
678,Keagan Dolly,za RSA,FW,Montpellier,fr Ligue 1,25,1993,1.0,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0,Matches
