,Player,Nation,Position,Squad,Competition,Age,Born,90s,Goals,Shots_total,Shots_on_target,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net,Matches
506,Ben Chilwell,eng ENG,DF,Chelsea,eng Premier League,23,1996,25.4,3,27,10,37.0,1.06,0.39,0.11,0.30,14.4,0,0,0,2.4,2.4,0.09,+0.6,+0.6,Matches
507,Vlad Chiricheș,ro ROU,DF,Sassuolo,it Serie A,30,1989,20.4,2,12,3,25.0,0.59,0.15,0.17,0.67,13.7,0,0,0,1.3,1.3,0.11,+0.7,+0.7,Matches
508,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,23,1997,25.3,0,8,1,12.5,0.32,0.04,0.00,0.00,21.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
509,Tahith Chong,nl NED,"MF,FW",Werder Bremen,de Bundesliga,20,1999,4.3,0,9,1,11.1,2.10,0.23,0.00,0.00,20.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
510,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,18,2001,12.9,0,8,2,25.0,0.62,0.15,0.00,0.00,17.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
511,Hamza Choudhury,eng ENG,MF,Leicester City,eng Premier League,22,1997,3.5,0,4,1,25.0,1.14,0.28,0.00,0.00,22.2,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
512,Mounir Chouiar,fr FRA,"FW,MF",Dijon,fr Ligue 1,21,1999,14.3,0,23,5,21.7,1.61,0.35,0.00,0.00,21.3,4,0,1,2.0,1.2,0.05,-2.0,-1.2,Matches
513,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,24,1996,15.2,0,3,0,0.0,0.20,0.00,0.00,,12.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
514,Carney Chukwuemeka,eng ENG,"MF,FW",Aston Villa,eng Premier League,16,2003,0.2,0,1,0,0.0,4.50,0.00,0.00,,23.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
515,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,es La Liga,21,1999,15.2,4,31,10,32.3,2.04,0.66,0.13,0.40,17.0,0,0,0,2.4,2.4,0.08,+1.6,+1.6,Matches
516,Darko Churlinov,mk MKD,"DF,MF",Stuttgart,de Bundesliga,20,2000,2.4,0,2,0,0.0,0.83,0.00,0.00,,14.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
517,Víctor Chust,es ESP,DF,Real Madrid,es La Liga,20,2000,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
518,Sébastien Cibois,fr FRA,GK,Brest,fr Ligue 1,22,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
519,Cifu,es ESP,DF,Elche,es La Liga,29,1990,5.0,0,3,0,0.0,0.60,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
520,Alberto Cifuentes,es ESP,GK,Cádiz,es La Liga,41,1979,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
521,Luca Cigarini,it ITA,MF,Crotone,it Serie A,34,1986,10.3,0,15,2,13.3,1.45,0.19,0.00,0.00,26.5,3,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
522,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,31,1989,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
523,Antonio Cioffi,it ITA,FW,Napoli,it Serie A,17,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
524,Tim Civeja,al ALB,MF,Augsburg,de Bundesliga,18,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
525,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,30,1989,21.0,1,8,2,25.0,0.38,0.10,0.13,0.50,11.1,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
526,Alexis Claude-Maurice,fr FRA,"MF,FW",Nice,fr Ligue 1,22,1998,21.2,4,34,15,44.1,1.60,0.71,0.12,0.27,18.9,3,0,0,3.8,3.8,0.12,+0.2,+0.2,Matches
527,Jonathan Clauss,fr FRA,DF,Lens,fr Ligue 1,27,1992,28.0,3,34,13,38.2,1.21,0.46,0.09,0.23,22.6,3,0,0,1.7,1.7,0.05,+1.3,+1.3,Matches
528,Carlos Clerc,es ESP,DF,Levante,es La Liga,28,1992,30.9,0,6,4,66.7,0.19,0.13,0.00,0.00,19.9,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
529,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,29,1991,12.7,0,4,1,25.0,0.31,0.08,0.00,0.00,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
530,Conor Coady,eng ENG,DF,Wolves,eng Premier League,27,1993,36.7,1,7,2,28.6,0.19,0.05,0.14,0.50,11.6,0,0,0,1.0,1.0,0.15,0.0,0.0,Matches
531,Marcus Coco,fr FRA,"MF,FW",Nantes,fr Ligue 1,24,1996,16.4,0,13,2,15.4,0.79,0.12,0.00,0.00,15.7,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
532,Coke,es ESP,DF,Levante,es La Liga,33,1987,9.3,0,9,2,22.2,0.97,0.22,0.00,0.00,18.1,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
533,Séamus Coleman,ie IRL,"DF,MF",Everton,eng Premier League,31,1988,17.9,0,12,4,33.3,0.67,0.22,0.00,0.00,19.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
534,Ebrima Colley,gm GAM,"MF,FW",Hellas Verona,it Serie A,20,2000,8.2,1,17,7,41.2,2.08,0.86,0.06,0.14,14.9,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
535,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,27,1992,28.8,2,12,3,25.0,0.42,0.10,0.17,0.67,11.0,0,0,0,1.1,1.1,0.09,+0.9,+0.9,Matches
536,Simone Colombi,it ITA,GK,Parma,it Serie A,29,1991,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
537,Lorenzo Colombo,it ITA,FW,Milan,it Serie A,18,2002,1.0,0,4,1,25.0,3.83,0.96,0.00,0.00,12.3,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
538,Racine Coly,sn SEN,MF,Nice,fr Ligue 1,24,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
539,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,24,1996,19.5,5,52,19,36.5,2.67,0.98,0.10,0.26,17.5,0,0,0,4.2,4.2,0.08,+0.8,+0.8,Matches
540,Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,35,1985,36.6,2,13,3,23.1,0.36,0.08,0.15,0.67,8.5,0,0,0,1.3,1.3,0.10,+0.7,+0.7,Matches
541,Aaron Connolly,ie IRL,FW,Brighton,eng Premier League,20,2000,8.8,2,23,8,34.8,2.62,0.91,0.09,0.25,14.0,0,0,0,4.0,4.0,0.17,-2.0,-2.0,Matches
542,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,33,1987,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
543,Andrea Conti,it ITA,DF,Milan,it Serie A,26,1994,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
544,Andrea Conti,it ITA,DF,Parma,it Serie A,26,1994,9.0,0,5,2,40.0,0.56,0.22,0.00,0.00,12.8,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
545,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,28,1991,24.3,1,15,8,53.3,0.62,0.33,0.07,0.13,8.9,0,0,0,1.8,1.8,0.12,-0.8,-0.8,Matches
546,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,29,1991,8.2,0,4,0,0.0,0.49,0.00,0.00,,17.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
547,Theo Corbeanu,ca CAN,FW,Wolves,eng Premier League,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
548,Sébastien Corchia,fr FRA,DF,Nantes,fr Ligue 1,29,1990,23.0,0,21,7,33.3,0.91,0.30,0.00,0.00,24.1,5,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
549,Alex Cordaz,it ITA,GK,Crotone,it Serie A,37,1983,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
550,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,es La Liga,23,1997,1.1,0,2,0,0.0,1.89,0.00,0.00,,15.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
551,Iñigo Córdoba,es ESP,MF,Alavés,es La Liga,23,1997,2.4,0,1,0,0.0,0.42,0.00,0.00,,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
552,Jhon Córdoba,co COL,FW,Hertha BSC,de Bundesliga,27,1993,17.1,7,48,18,37.5,2.81,1.05,0.15,0.39,13.4,0,0,0,6.9,6.9,0.15,+0.1,+0.1,Matches
553,Sergio Córdova,ve VEN,"FW,MF",Arminia,de Bundesliga,22,1997,12.1,2,20,4,20.0,1.65,0.33,0.10,0.50,14.9,0,0,0,3.5,3.5,0.17,-1.5,-1.5,Matches
554,Jack Cork,eng ENG,MF,Burnley,eng Premier League,31,1989,15.0,0,5,0,0.0,0.33,0.00,0.00,,22.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
555,Andreas Cornelius,dk DEN,FW,Parma,it Serie A,27,1993,21.1,1,30,7,23.3,1.42,0.33,0.03,0.14,12.3,0,0,0,2.9,2.9,0.10,-1.9,-1.9,Matches
556,Maxwel Cornet,ci CIV,"DF,FW",Lyon,fr Ligue 1,23,1996,27.2,2,21,11,52.4,0.77,0.40,0.10,0.18,17.6,2,0,0,2.1,2.1,0.10,-0.1,-0.1,Matches
557,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,25,1995,26.6,9,52,23,44.2,1.96,0.87,0.17,0.39,17.4,0,0,0,7.8,7.7,0.15,+1.2,+1.3,Matches
558,Joaquín Correa,ar ARG,FW,Lazio,it Serie A,25,1994,21.5,8,53,22,41.5,2.47,1.02,0.13,0.32,13.9,0,1,1,6.9,6.3,0.12,+1.1,+0.7,Matches
559,Rober Correa,es ESP,DF,Eibar,es La Liga,27,1992,12.6,0,6,0,0.0,0.48,0.00,0.00,,22.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
560,Félix Correia,pt POR,MF,Juventus,it Serie A,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
561,Thierry Correia,pt POR,DF,Valencia,es La Liga,21,1999,23.7,1,8,2,25.0,0.34,0.08,0.13,0.50,16.5,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
562,Danny da Costa,de GER,"DF,FW",Mainz 05,de Bundesliga,27,1993,13.4,0,3,0,0.0,0.22,0.00,0.00,,23.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
563,Danny da Costa,de GER,DF,Eint Frankfurt,de Bundesliga,27,1993,1.2,0,3,0,0.0,2.45,0.00,0.00,,20.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
564,David Pereira da Costa,pt POR,"MF,FW",Lens,fr Ligue 1,19,2001,1.8,1,2,1,50.0,1.14,0.57,0.50,1.00,19.4,0,0,0,0.4,0.4,0.22,+0.6,+0.6,Matches
565,Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,31,1988,2.3,2,4,2,50.0,1.73,0.87,0.25,0.50,13.4,0,1,1,1.4,0.6,0.15,+0.6,+0.4,Matches
566,Douglas Costa,br BRA,"MF,FW",Juventus,it Serie A,29,1990,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
567,Douglas Costa,br BRA,"FW,MF",Bayern Munich,de Bundesliga,29,1990,3.6,1,4,2,50.0,1.13,0.56,0.25,0.50,21.7,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
568,Hélder Costa,ao ANG,"MF,FW",Leeds United,eng Premier League,26,1994,12.8,3,16,6,37.5,1.25,0.47,0.19,0.50,14.8,0,0,0,2.2,2.2,0.14,+0.8,+0.8,Matches
569,Jaume Costa,es ESP,"DF,MF",Villarreal,es La Liga,32,1988,3.9,0,2,0,0.0,0.51,0.00,0.00,,14.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
570,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,36,1983,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
571,Charles Costes,fr FRA,MF,Dijon,fr Ligue 1,17,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
572,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33,1987,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
573,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,27,1992,33.9,0,15,5,33.3,0.44,0.15,0.00,0.00,16.5,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches
574,Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,28,1991,10.9,3,18,4,22.2,1.65,0.37,0.11,0.50,13.1,0,1,1,2.6,1.8,0.10,+0.4,+0.2,Matches
575,Lassana Coulibaly,ml MLI,MF,Angers,fr Ligue 1,24,1996,18.7,1,14,4,28.6,0.75,0.21,0.07,0.25,23.2,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
576,Mamadou Coulibaly,sn SEN,MF,Udinese,it Serie A,21,1999,2.0,0,2,0,0.0,0.98,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
577,Senou Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,25,1994,21.5,2,5,3,60.0,0.23,0.14,0.40,0.67,8.9,0,0,0,0.8,0.8,0.17,+1.2,+1.2,Matches
578,Tanguy Coulibaly,fr FRA,"DF,FW",Stuttgart,de Bundesliga,19,2001,16.7,2,26,9,34.6,1.55,0.54,0.08,0.22,17.2,1,0,0,2.8,2.8,0.11,-0.8,-0.8,Matches
579,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,28,1992,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
580,Philippe Coutinho,br BRA,"MF,FW",Barcelona,es La Liga,28,1992,7.3,2,28,9,32.1,3.85,1.24,0.07,0.22,17.3,0,0,0,4.0,4.0,0.14,-2.0,-2.0,Matches
581,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,21,1999,15.2,0,1,0,0.0,0.07,0.00,0.00,,6.4,0,0,0,0.3,0.3,0.26,-0.3,-0.3,Matches
582,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,26,1994,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
583,Gian Crespi,it ITA,GK,Crotone,it Serie A,19,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
584,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,30,1989,35.2,0,19,4,21.1,0.54,0.11,0.00,0.00,25.4,11,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
585,Domenico Criscito,it ITA,DF,Genoa,it Serie A,33,1986,19.2,1,5,1,20.0,0.26,0.05,0.00,0.00,29.2,0,1,1,0.9,0.1,0.03,+0.1,-0.1,Matches
586,Bryan Cristante,it ITA,"DF,MF",Roma,it Serie A,25,1995,23.9,1,28,8,28.6,1.17,0.33,0.04,0.13,19.0,1,0,0,2.4,2.4,0.08,-1.4,-1.4,Matches
587,Giovanni Crociata,it ITA,DF,Crotone,it Serie A,22,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
588,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,28,1992,21.8,0,1,0,0.0,0.05,0.00,0.00,,20.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
589,Juan Cuadrado,co COL,"DF,MF",Juventus,it Serie A,32,1988,24.2,2,18,6,33.3,0.74,0.25,0.06,0.17,17.8,0,1,1,2.3,1.5,0.09,-0.3,-0.5,Matches
590,Andrés Cubas,py PAR,MF,Nîmes,fr Ligue 1,24,1996,24.9,1,11,5,45.5,0.44,0.20,0.09,0.20,23.7,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
591,Sergio Cubero Ezcurra,es ESP,MF,Eibar,es La Liga,20,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
592,Cucho,co COL,"FW,MF",Getafe,es La Liga,21,1999,16.3,2,28,11,39.3,1.72,0.68,0.07,0.18,16.0,1,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches
593,Marc Cucurella,es ESP,MF,Getafe,es La Liga,22,1998,36.0,3,26,8,30.8,0.72,0.22,0.12,0.38,18.6,0,0,0,1.9,1.8,0.07,+1.1,+1.2,Matches
594,Mickaël Cuisance,fr FRA,MF,Marseille,fr Ligue 1,20,1999,11.4,2,9,3,33.3,0.79,0.26,0.22,0.67,18.1,1,0,0,0.8,0.8,0.09,+1.2,+1.2,Matches
595,Mickaël Cuisance,fr FRA,FW,Bayern Munich,de Bundesliga,20,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
596,Matheus Cunha,br BRA,"FW,MF",Hertha BSC,de Bundesliga,21,1999,23.9,7,67,31,46.3,2.81,1.30,0.07,0.16,23.6,8,2,3,8.4,6.1,0.09,-1.4,-1.1,Matches
597,Giuseppe Cuomo,it ITA,DF,Crotone,it Serie A,22,1998,8.9,0,2,0,0.0,0.22,0.00,0.00,,8.7,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
598,Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,22,1998,0.3,0,1,0,0.0,3.60,0.00,0.00,,10.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
599,Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,22,1998,2.2,0,3,1,33.3,1.38,0.46,0.00,0.00,13.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
600,Patrick Cutrone,it ITA,FW,Valencia,es La Liga,22,1998,1.2,0,3,1,33.3,2.50,0.83,0.00,0.00,15.8,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
601,Wylan Cyprien,fr FRA,MF,Parma,it Serie A,25,1995,4.6,0,6,1,16.7,1.32,0.22,0.00,0.00,27.8,3,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
602,Rafael Czichos,de GER,DF,Köln,de Bundesliga,30,1990,25.1,1,10,2,20.0,0.40,0.08,0.10,0.50,7.1,0,0,0,1.8,1.8,0.18,-0.8,-0.8,Matches
603,Lennart-Marten Czyborra,de GER,DF,Genoa,it Serie A,21,1999,13.0,1,5,2,40.0,0.38,0.15,0.20,0.50,19.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
604,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,31,1988,7.8,3,8,6,75.0,1.03,0.77,0.38,0.50,11.2,0,0,0,1.3,1.3,0.16,+1.7,+1.7,Matches
605,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,32,1988,29.6,4,23,11,47.8,0.78,0.37,0.17,0.36,13.3,0,0,0,2.1,2.1,0.09,+1.9,+1.9,Matches
606,Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,de Bundesliga,28,1992,11.1,4,27,13,48.1,2.43,1.17,0.15,0.31,15.1,1,0,1,5.3,4.5,0.17,-1.3,-0.5,Matches
607,Bryan Dabo,bf BFA,MF,Benevento,it Serie A,28,1992,12.4,0,12,2,16.7,0.97,0.16,0.00,0.00,19.4,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
608,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,21,1998,15.1,1,7,1,14.3,0.46,0.07,0.14,1.00,20.0,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
609,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,22,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
610,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,24,1996,14.0,1,16,5,31.3,1.14,0.36,0.06,0.20,27.5,1,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
611,Leon Dajaku,de GER,FW,Union Berlin,de Bundesliga,19,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
612,Stuart Dallas,nir NIR,"MF,DF",Leeds United,eng Premier League,29,1991,37.9,8,48,18,37.5,1.27,0.48,0.17,0.44,20.5,0,0,0,4.2,4.2,0.09,+3.8,+3.8,Matches
613,Diogo Dalot,pt POR,DF,Milan,it Serie A,21,1999,12.1,1,10,5,50.0,0.83,0.41,0.10,0.20,21.4,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
614,Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,it Serie A,20,2000,19.7,2,25,8,32.0,1.27,0.41,0.08,0.25,19.7,3,0,0,2.9,2.9,0.12,-0.9,-0.9,Matches
615,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,19,2001,16.4,1,9,2,22.2,0.55,0.12,0.11,0.50,17.7,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
616,Danilo,br BRA,"DF,MF",Juventus,it Serie A,29,1991,32.4,1,19,2,10.5,0.59,0.06,0.05,0.50,22.6,0,0,0,1.9,1.9,0.10,-0.9,-0.9,Matches
617,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,33,1987,15.0,1,4,1,25.0,0.27,0.07,0.25,1.00,10.2,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
618,Tiago Dantas,pt POR,MF,Bayern Munich,de Bundesliga,19,2000,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
619,Dante,br BRA,DF,Nice,fr Ligue 1,36,1983,8.6,2,7,2,28.6,0.81,0.23,0.29,1.00,12.3,1,0,0,0.9,0.9,0.12,+1.1,+1.1,Matches
620,Andrea Danzi,it ITA,DF,Hellas Verona,it Serie A,21,1999,1.2,0,1,0,0.0,0.87,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
621,Ebrima Darboe,gm GAM,MF,Roma,it Serie A,19,2001,3.6,0,3,0,0.0,0.84,0.00,0.00,,25.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
622,Márton Dárdai,hu HUN,"DF,MF",Hertha BSC,de Bundesliga,18,2002,9.1,0,2,0,0.0,0.22,0.00,0.00,,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
623,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,29,1990,21.1,1,27,7,25.9,1.28,0.33,0.04,0.14,23.2,1,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
624,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,29,1990,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
625,Matteo Darmian,it ITA,DF,Parma,it Serie A,30,1989,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
626,Matteo Darmian,it ITA,DF,Inter,it Serie A,30,1989,12.9,3,9,4,44.4,0.70,0.31,0.33,0.75,12.8,0,0,0,1.5,1.5,0.17,+1.5,+1.5,Matches
627,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,20,2000,26.2,13,55,33,60.0,2.10,1.26,0.24,0.39,15.2,0,0,0,9.1,9.1,0.17,+3.9,+3.9,Matches
628,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,19,2000,19.6,1,4,3,75.0,0.20,0.15,0.25,0.33,23.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
629,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,27,1993,15.0,0,3,0,0.0,0.20,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
630,Tom Davies,eng ENG,MF,Everton,eng Premier League,22,1998,15.8,0,7,0,0.0,0.44,0.00,0.00,,25.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
631,Keinan Davis,eng ENG,"FW,MF",Aston Villa,eng Premier League,22,1998,3.1,1,9,2,22.2,2.92,0.65,0.11,0.50,10.6,0,0,0,1.5,1.5,0.16,-0.5,-0.5,Matches
632,Leif Davis,eng ENG,DF,Leeds United,eng Premier League,20,2000,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
633,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,25,1995,20.7,0,15,4,26.7,0.73,0.19,0.00,0.00,12.0,0,0,0,1.9,1.9,0.13,-1.9,-1.9,Matches
634,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,30,1990,21.4,3,16,5,31.3,0.75,0.23,0.19,0.60,10.1,0,0,0,1.9,1.9,0.12,+1.1,+1.1,Matches
635,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,29,1991,22.2,6,77,24,31.2,3.47,1.08,0.05,0.17,21.0,10,2,3,9.3,6.9,0.09,-3.3,-2.9,Matches
636,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,33,1987,9.5,0,6,1,16.7,0.63,0.11,0.00,0.00,12.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
637,Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,26,1994,35.6,9,79,19,24.1,2.22,0.53,0.08,0.32,25.5,10,3,3,6.2,3.8,0.05,+2.8,+2.2,Matches
638,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,27,1992,0.3,0,1,0,0.0,3.75,0.00,0.00,,20.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
639,Mattia De Sciglio,it ITA,DF,Lyon,fr Ligue 1,27,1992,16.3,0,3,1,33.3,0.18,0.06,0.00,0.00,25.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
640,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,32,1988,23.8,2,11,6,54.5,0.46,0.25,0.18,0.33,11.6,0,0,0,2.1,2.1,0.19,-0.1,-0.1,Matches
641,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,22,1998,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
642,Lucas Deaux,fr FRA,"MF,DF",Nîmes,fr Ligue 1,31,1988,19.5,1,13,4,30.8,0.67,0.21,0.08,0.25,18.9,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
643,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35,1985,23.4,2,26,7,26.9,1.11,0.30,0.08,0.29,13.5,0,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches
